Filename,Governing Law-Answer,lat,lng,isMissing,AgreementDate
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,Nevada,37.8445,-94.3492,True,2014-05-08
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,Ontario,34.0393,-117.6064,True,2006-07-11
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,Florida,-34.1,-56.2167,False,2012-11-15
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,Nevada,37.8445,-94.3492,False,2014-02-10
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,New York,40.6943,-73.9249,True,2015-12-21
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,New York,40.6943,-73.9249,True,1999-10-01
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,California,38.2969,-76.4949,True,2000-05-22
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Tennessee,36.1715,-86.7843,True,2000-01-10
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,California,38.2969,-76.4949,True,2013-07-26
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,New York,40.6943,-73.9249,True,2019-09-30
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Delaware,40.2866,-83.0747,True,2019-06-12
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,New York,40.6943,-73.9249,False,2019-11-05
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,New York,40.6943,-73.9249,True,2019-10-11
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Ohio,40.5425,-80.0926,True,2018-03-29
