Filename,Governing Law-Answer,lat,lng,isMissing,AgreementDate,documentName,parties,expirationDate,renewalTerm,noticePeriod,toc,isExpDateMissing,isRenewalTermMissing,isNoticePeriodMissing,isTOC,party1,party2,network
CybergyHoldingsInc_20140520,Nevada,37.8445,-94.3492,False,2014-05-08,MARKETING AFFILIATE AGREEMENT,"Birch First Global Investments Inc. (""Company""); Mount Kowledge Holdings Inc. (""Marketing Affiliate"", ""MA"")",12/31/2014,successive 1 year,30 days,No,False,False,False,False,"Birch First Global Investments Inc. (""Company"")"," Mount Kowledge Holdings Inc. (""Marketing Affiliate"", ""MA"")","{""nodes"": [{""id"": 0, ""name"": ""CybergyHoldingsInc_20140520""}, {""id"": 286, ""name"": ""ADAMSGOLFINC_03""}, {""id"": 243, ""name"": ""REWALKROBOTICSLTD_07""}, {""id"": 113, ""name"": ""BellringBrandsInc_20190920""}, {""id"": 189, ""name"": ""KENTUCKYUTILITIESCO_03""}, {""id"": 101, ""name"": ""PhoenixNewMediaLtd_20110421""}, {""id"": 278, ""name"": ""HYPERIONSOFTWARECORP_09""}], ""links"": [{""source"": 189, ""target"": 0}, {""source"": 0, ""target"": 113}, {""source"": 189, ""target"": 278}, {""source"": 0, ""target"": 278}, {""source"": 101, ""target"": 278}, {""source"": 286, ""target"": 0}]}"
EuromediaHoldingsCorp_20070215,Ontario,34.0393,-117.6064,True,2006-07-11,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,"Rogers Cable Communications Inc. (""Rogers""); EuroMedia Holdings Corp. (""Licensor"")",6/30/2010,2 years,60 days,Yes,False,False,False,True,"Rogers Cable Communications Inc. (""Rogers"")"," EuroMedia Holdings Corp. (""Licensor"")","{""nodes"": [{""id"": 1, ""name"": ""EuromediaHoldingsCorp_20070215""}, {""id"": 219, ""name"": ""Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT.PDF""}, {""id"": 89, ""name"": ""IbioInc_20200313""}, {""id"": 153, ""name"": ""GSVINC_05""}, {""id"": 230, ""name"": ""AURASYSTEMSINC_06""}, {""id"": 236, ""name"": ""GIGGLESN_HUGS,INC""}, {""id"": 148, ""name"": ""STAMPSCOMINC_06""}], ""links"": [{""source"": 1, ""target"": 219}, {""source"": 89, ""target"": 219}, {""source"": 153, ""target"": 230}, {""source"": 1, ""target"": 230}, {""source"": 153, ""target"": 230}, {""source"": 148, ""target"": 1}]}"
FulucaiProductionsLtd_20131223,Florida,-34.1,-56.2167,True,2012-11-15,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,"CONVERGTV, INC. (“ConvergTV”); Fulucai Productions Ltd. (""Producer"")",,"perpetual, 11/15/2014",,No,True,False,True,False,"CONVERGTV, INC. (“ConvergTV”)"," Fulucai Productions Ltd. (""Producer"")","{""nodes"": [{""id"": 2, ""name"": ""FulucaiProductionsLtd_20131223""}, {""id"": 265, ""name"": ""GSITECHNOLOGYINC_11""}, {""id"": 333, ""name"": ""PROLONGINTERNATIONALCORP_03""}, {""id"": 114, ""name"": ""KIROMICBIOPHARMA,INC_05""}, {""id"": 279, ""name"": ""LEGACYTECHNOLOGYHOLDINGS,INC_12""}, {""id"": 306, ""name"": ""Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.PDF""}, {""id"": 244, ""name"": ""KALLOINC_11""}], ""links"": [{""source"": 244, ""target"": 333}, {""source"": 306, ""target"": 2}, {""source"": 333, ""target"": 265}, {""source"": 279, ""target"": 306}, {""source"": 244, ""target"": 114}, {""source"": 306, ""target"": 114}, {""source"": 279, ""target"": 333}, {""source"": 114, ""target"": 279}, {""source"": 2, ""target"": 333}]}"
GopageCorp_20140221,Nevada,37.8445,-94.3492,False,2014-02-10,WEBSITE CONTENT LICENSE AGREEMENT,"PSiTech Corporation (""Licensor""); Empirical Ventures, Inc (""Licensee"")",2/10/2019,3 years,90 days,No,False,False,False,False,"PSiTech Corporation (""Licensor"")"," Empirical Ventures, Inc (""Licensee"")","{""nodes"": [{""id"": 3, ""name"": ""GopageCorp_20140221""}, {""id"": 225, ""name"": ""GULFSOUTHMEDICALSUPPLYINC_12""}, {""id"": 309, ""name"": ""PRIMEENERGYRESOURCESCORP_04""}, {""id"": 152, ""name"": ""DRKOOPCOMINC_04""}, {""id"": 16, ""name"": ""WaterNowInc_20191120""}, {""id"": 314, ""name"": ""STARTECGLOBALCOMMUNICATIONSCORP_11""}, {""id"": 297, ""name"": ""AMERICASSHOPPINGMALLINC_12""}], ""links"": [{""source"": 152, ""target"": 309}, {""source"": 16, ""target"": 309}, {""source"": 152, ""target"": 309}, {""source"": 16, ""target"": 309}, {""source"": 3, ""target"": 314}, {""source"": 309, ""target"": 225}]}"
IdeanomicsInc_20160330,New York,40.6943,-73.9249,True,2015-12-21,CONTENT LICENSE AGREEMENT,"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")",12/21/1935,,,No,False,True,True,False,"Beijing Sun Seven Stars Culture Development Limited (""Licensor"")"," YOU ON DEMAND HOLDINGS, INC (""Licensee"")","{""nodes"": [{""id"": 4, ""name"": ""IdeanomicsInc_20160330""}, {""id"": 173, ""name"": ""OMINTO,INC_03""}, {""id"": 233, ""name"": ""DUOSTECHNOLOGIESGROUP,INC_04""}, {""id"": 233, ""name"": ""DUOSTECHNOLOGIESGROUP,INC_04""}, {""id"": 334, ""name"": ""NETGROCERINC_07""}, {""id"": 104, ""name"": ""WebmdHealthCorp_20050908""}, {""id"": 183, ""name"": ""FLOTEKINDUSTRIESINCCN_05""}], ""links"": [{""source"": 4, ""target"": 233}, {""source"": 4, ""target"": 173}, {""source"": 233, ""target"": 183}, {""source"": 4, ""target"": 233}, {""source"": 104, ""target"": 334}, {""source"": 104, ""target"": 334}, {""source"": 233, ""target"": 173}]}"
DeltathreeInc_19991102,New York,40.6943,-73.9249,True,1999-10-01,CO-BRANDING AND SERVICES AGREEMENT,"RSL COM PrimeCall, Inc. (""PrimeCall""); deltathree.com, Inc. (formerly known as Delta Three, Inc.) (""DeltaThree"")",10/1/2002,,,No,False,True,True,False,"RSL COM PrimeCall, Inc. (""PrimeCall"")"," deltathree.com, Inc. (formerly known as Delta Three, Inc.) (""DeltaThree"")","{""nodes"": [{""id"": 5, ""name"": ""DeltathreeInc_19991102""}, {""id"": 63, ""name"": ""HealthcentralCom_19991108""}, {""id"": 192, ""name"": ""BERKELEYLIGHTS,INC_06""}, {""id"": 200, ""name"": ""PLAYAHOTELS&RESORTSNV_03""}, {""id"": 134, ""name"": ""PFSFUNDS_06""}, {""id"": 106, ""name"": ""SmartRxSystemsInc_20180914""}, {""id"": 111, ""name"": ""PlayboyEnterprisesInc_20090220""}], ""links"": [{""source"": 200, ""target"": 111}, {""source"": 63, ""target"": 200}, {""source"": 200, ""target"": 63}, {""source"": 134, ""target"": 5}, {""source"": 106, ""target"": 111}, {""source"": 106, ""target"": 63}]}"
EdietsComInc_20001030,California,38.2969,-76.4949,False,2000-05-22,CO-BRANDING AGREEMENT,"WOMEN.COM NETWORKS, INC. (""Women.com""); EDIETS.COM, INC. (""eDiets"")",5/22/2002,successive 1 year,60 days,No,False,False,False,False,"WOMEN.COM NETWORKS, INC. (""Women.com"")"," EDIETS.COM, INC. (""eDiets"")","{""nodes"": [{""id"": 6, ""name"": ""EdietsComInc_20001030""}, {""id"": 322, ""name"": ""VERTICALNETINC_04""}, {""id"": 65, ""name"": ""EbixInc_20010515""}, {""id"": 82, ""name"": ""PharmagenInc_20120803""}, {""id"": 169, ""name"": ""MANUFACTURERSSERVICESLTD_06""}, {""id"": 262, ""name"": ""CERES,INC_01""}, {""id"": 206, ""name"": ""CYBERIANOUTPOSTINC_07""}], ""links"": [{""source"": 82, ""target"": 262}, {""source"": 82, ""target"": 262}, {""source"": 322, ""target"": 82}, {""source"": 82, ""target"": 262}, {""source"": 206, ""target"": 82}, {""source"": 262, ""target"": 322}, {""source"": 65, ""target"": 206}, {""source"": 322, ""target"": 6}]}"
IntegrityMediaInc_20010329,Tennessee,36.1715,-86.7843,True,2000-01-10,PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT,"INTEGRITY INCORPORATED (""Integrity""); TIME LIFE, INC. d/b/a Time Life Music (""TL"")",12/31/2004,,,No,False,True,True,False,"INTEGRITY INCORPORATED (""Integrity"")"," TIME LIFE, INC. d/b/a Time Life Music (""TL"")","{""nodes"": [{""id"": 7, ""name"": ""IntegrityMediaInc_20010329""}, {""id"": 162, ""name"": ""ELANDIAINTERNATIONALINC_04""}, {""id"": 28, ""name"": ""VirtuosoSurgicalInc_20191227""}, {""id"": 51, ""name"": ""EcoScienceSolutionsInc_20180406""}, {""id"": 307, ""name"": ""Sonos, Inc. - Manufacturing Agreement .PDF""}, {""id"": 316, ""name"": ""SUMMAFOURINC_06""}, {""id"": 109, ""name"": ""GluMobileInc_20070319""}], ""links"": [{""source"": 307, ""target"": 51}, {""source"": 51, ""target"": 316}, {""source"": 307, ""target"": 28}, {""source"": 28, ""target"": 7}, {""source"": 307, ""target"": 162}, {""source"": 28, ""target"": 109}]}"
MusclepharmCorp_20170208,California,38.2969,-76.4949,True,2013-07-26,ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT,"Marine MP, LLC (“Lender”); Arnold Schwarzenegger (“Endorser”); Fitness Publications, Inc. (“Fitness”); Lender, Endorser and Fitness (“AS Parties”);  MusclePharm Corporation (""MusclePharm"" or ""Company"")",7/22/2016,7/22/2019; 7/22/2022,,No,False,False,True,False,"Marine MP, LLC (“Lender”)", Arnold Schwarzenegger (“Endorser”),"{""nodes"": [{""id"": 8, ""name"": ""MusclepharmCorp_20170208""}, {""id"": 191, ""name"": ""SENMIAOTECHNOLOGYLTD_02""}, {""id"": 280, ""name"": ""LIMEENERGYCO_09""}, {""id"": 42, ""name"": ""SigaTechnologiesInc_20190603""}, {""id"": 178, ""name"": ""MEDIWOUNDLTD_01""}, {""id"": 173, ""name"": ""OMINTO,INC_03""}, {""id"": 85, ""name"": ""CnsPharmaceuticalsInc_20200326""}], ""links"": [{""source"": 178, ""target"": 42}, {""source"": 178, ""target"": 42}, {""source"": 8, ""target"": 191}, {""source"": 173, ""target"": 42}, {""source"": 280, ""target"": 178}]}"
ConformisInc_20191101,New York,40.6943,-73.9249,True,2019-09-30,DEVELOPMENT AGREEMENT,"Howmedica Ostenonics Corp. (""Stryker""); Conformis, Inc. (""Conformis""); Stryker and Conformis (“Parties” and   individually as a “Party.”)",,,,No,True,True,True,False,"Howmedica Ostenonics Corp. (""Stryker"")"," Conformis, Inc. (""Conformis"")","{""nodes"": [{""id"": 9, ""name"": ""ConformisInc_20191101""}, {""id"": 106, ""name"": ""SmartRxSystemsInc_20180914""}, {""id"": 329, ""name"": ""Reinsurance Group of America, Incorporated - A&R REMARKETING  AGREEMENT.PDF""}, {""id"": 152, ""name"": ""DRKOOPCOMINC_04""}, {""id"": 65, ""name"": ""EbixInc_20010515""}, {""id"": 306, ""name"": ""Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.PDF""}, {""id"": 113, ""name"": ""BellringBrandsInc_20190920""}], ""links"": [{""source"": 152, ""target"": 9}, {""source"": 329, ""target"": 9}, {""source"": 152, ""target"": 113}, {""source"": 106, ""target"": 65}, {""source"": 65, ""target"": 113}, {""source"": 9, ""target"": 306}]}"
